,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
998,IT Specialist - Sokhna,Confidential,Ain Sokhna,Suez,Egypt ,Full Time,On-site,Experienced,3+ Yrs of Exp,Installation/Maintenance/Repair,Install CCNA CCNA Voice SQL Server Troubleshoot Maintenance Information Technology (IT),2 months ago
999,General Accountant - Alexandria,Confidential,Not mentioned,Alexandria,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Accounting/Finance,Financial Management Financial Analysis Accounting Software Microsoft Office English,2 months ago
1000,IT Manager,Intouch CX ,Maadi,Cairo,Egypt ,Full Time,On-site,Manager,3+ Yrs of Exp,IT/Software Development,Computer Science Administration Analysis computer Computer Engineering Computer Hardware English,2 months ago
1001,WFM Manager,Intouch CX ,Maadi,Cairo,Egypt ,Full Time,On-site,Manager,3+ Yrs of Exp,Customer Service/Support,Analysis Call Center Communication Customer Care Customer Service Customer Support Financial Analysis,2 months ago
1002,Sales Executive,Confidential,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Business Development,Sales Executive sales skills Sales Target Software Sales Software,2 months ago
1003,Call Center Manager,Shifa Egypt,New Cairo,Cairo,Egypt ,Full Time,On-site,Manager,4 - 6 Yrs of Exp,Customer Service/Support,Communication Call Center Manager Customer Support Education Customer Care MS MS Office,2 months ago
1004,AI Intern,Barkotel,Sheraton,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Artificial Intelligence Computer Science Software Engineering Machine Learning Computer Vision Programming,2 months ago
1005,Senior Sales From Home,Al-Freeh,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Customer Service/Support,Sales Target senior sales skills Customer Service Communication skills Microsoft Office Marketing,2 months ago
1006,QC Engineer,Orchtech,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,0 - 2 Yrs of Exp,IT/Software Development,QC Quality Control Software Software Development Computer Science Automation Engineering,2 months ago
1007,Backend Developer,UniToni,Obour City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,NodeJS Docker Information Technology (IT) Software Engineering Software Development Computer Science,2 months ago
1008,Mobile App Developer - React Native,Sequel Solutions,Not mentioned,Cairo,Egypt ,Full Time,On-site,Student,IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT) React Mobile Development Software Development,2 months ago
1009,Aluminium Technical Office Engineer,Confidential,Faisal,Giza,Egypt ,Full Time,On-site,Experienced,1 - 5 Yrs of Exp,Engineering - Other,Engineering Technical Office Software Development Technical Architect Microsoft Office Communication Aluminium,2 months ago
1010,Accountant,Leverage,Maadi,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,Accounting/Finance,excel General Ledger Accounting Software Odoo ERP,2 months ago
1011,Senior DevOps Engineer,Al Ahly Momkn for e-payment,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Jenkins Software Development Kubernetes,2 months ago
1012,Graphic Designer,Confidential,Katameya,Cairo,Egypt ,Full Time,On-site,Entry Level,Creative/Design/Art,adobe,Adobe Creative Suite Marketing Adobe illustrator After Effects Creative Design,2 months ago
1013,Scrum Master,Smartpan,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,IT/Software Development,Scrum Master Software Testing Scrum Master,2 months ago
1014,Accountant,Travista,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Accounting/Finance,Travel Hotel Tax Accounting Finance Financial Analysis General Ledger GAAP,2 months ago
1015,.Net Developer,Smartpan,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,IT/Software Development,.Net Computer Science Design Engineering HTML5 Information Technology (IT) MVC,2 months ago
1016,UX Engineer,Selah ElTelmeez For Publishing & printing,Obour City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Creative/Design/Art,Information Technology (IT) Computer Science Multimedia Development HTML HTML5 ITI E-Learning,2 months ago
1017,React Front End Developer,Nile Creations,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,1+ Yrs of Exp,IT/Software Development,MySQL WordPress Information Technology (IT) Web Development Plugins AJAX HTML5,2 months ago
1018,Senior BIM Architect,Platoon Designs Company,Not mentioned,Giza,Egypt ,Full Time,On-site,Experienced,5 - 15 Yrs of Exp,Engineering - Construction/Civil/Architecture,BIM AutoCAD Revit Building Design Architecture Engineering,2 months ago
1019,Product Manager,Orcas,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3+ Yrs of Exp,IT/Software Development,Product Information Technology (IT) Marketing Sales Software Engineering Computer Science,2 months ago
1020,Senior System Analyst,Confidential,Mohandessin,Giza,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Analyst Business Analysis Computer Science Information Technology (IT) Software System Analysis Programming,2 months ago
1021,Database development consultant,Exco Egypt,Nasr City,Cairo,Egypt ,Full Time,On-site,Manager,12 - 16 Yrs of Exp,IT/Software Development,Computer Science Software Development Database Design,2 months ago
1022,Accountant,Dair Engineering,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,7 - 20 Yrs of Exp,Accounting/Finance,Financial Analysis English Accounting Software MS Office Financial Management Financial,2 months ago
1023,Data/Artificial Intelligence Sr. Consultant,Exco Egypt,Nasr City,Cairo,Egypt ,Full Time,On-site,Manager,10 - 16 Yrs of Exp,males_preferred,Artificial Intelligence Computer Science Software Development Data Engineer,2 months ago
1024,Financial Internal Audit,TRAVCO GROUP,Sheikh Zayed,Giza,Egypt ,Full Time,Not Mentioned,Experienced,3 - 4 Yrs of Exp,males_only,Accounting Software Finance English sun Construction Hospitality Financial Management Financial Analysis,2 months ago
1025,Data Entry Assistant-Full Time-Remote,Charlotte PA,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Accounting/Finance,IT/Software Development,computer science microsoft office accounting data entry communication skills software,2 hours ago
1026,Online Data Entry-Remote,Charlotte PA,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,IT/Software Development,Engineering - Telecom/Technology,computer science computer engineering electrical engineering data entry microsoft office management,57 minutes ago
1027,Accurate Data Entry Roles - Remote Work From Home,Charlotte PA,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,finance microsoft office financial analysis data entry communication skills management,1 hour ago
1028,Entry-Level Remote Data Entry Positions,Charlotte PA,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,customer service finance accounting data entry communication skills management,1 hour ago
1029,Remote Role (Data Entry Work From Home),Charlotte PA,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,IT/Software Development,Engineering - Telecom/Technology,information technology (it) computer engineering electrical engineering software microsoft office management,1 hour ago
1030,Optimizely Developer,Diena Recruitment Services,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Analyst/Research,Information Technology (IT) Software Development Web Development Software Engineering Computer Engineering .NET,1 hour ago
1031,Work-From-Home Data Entry Positions (Entry Level),Charlotte PA,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,IT/Software Development,Sales/Retail,information technology (it) sales computer science data entry communication skills management,3 hours ago
1032,Part-Time Remote Data Entry Position,Green Energy Shop,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,IT/Software Development,Engineering - Telecom/Technology,computer science customer service computer engineering microsoft office data entry software,20 hours ago
1033,Work From Home Data Entry Assistant (Entry Level),Beeldwerk collective studio 127,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Administration,IT/Software Development,administration information technology (it) computer science data entry communication skills management,20 hours ago
1034,Full-Time Remote Data Entry Assistant,Green Energy Shop,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Accounting/Finance,IT/Software Development,computer science microsoft office accounting data entry communication skills software,1 day ago
1035,Work-From-Home Data Entry Positions,Beeldwerk collective studio 127,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,IT/Software Development,Sales/Retail,information technology (it) sales computer science data entry communication skills management,14 hours ago
1036,Remote - Data Entry Jobs (Part/Full Time),OASME,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Installation/Maintenance/Repair,IT/Software Development,Computer Science Software Development Engineering Installation Software Engineering Computer Engineering,49 minutes ago
1037,Accurate Data Entry Roles - Remote Work From Home,Beeldwerk collective studio 127,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,finance microsoft office financial analysis data entry communication skills management,2 days ago
1038,Remote - Data Entry Jobs (Part/Full Time),Wind Energy Hosting,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Installation/Maintenance/Repair,IT/Software Development,Computer Science Software Development Engineering Installation Software Engineering Computer Engineering,1 day ago
1039,Manual Tester,Cognizant,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Quality,Information Technology (IT) Quality Assurance Quality Control QA Quality Software Testing,3 days ago
1040,Data Scientist,SupportFinity™,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Analyst/Research,Computer Science Information Technology (IT) SQL Data Science Data Scientist Machine Learning,2 days ago
1041,Work-From-Home Data Entry Opportunities,Beeldwerk collective studio 127,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,IT/Software Development,Marketing/PR/Advertising,microsoft office information technology (it) sales skills data entry communication skills management,2 days ago
1042,Entry-Level Work-From-Home Data Entry Jobs,Beeldwerk collective studio 127,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,administration data entry accounting communication skills management software,2 days ago
1043,Entry-Level Work-From-Home Data Entry Positions,Beeldwerk collective studio 127,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,administration data entry customer service communication skills management software,2 days ago
1044,Data Entry Roles Remote Work (Part-Time/Full-Time),Beeldwerk collective studio 127,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Accounting/Finance,IT/Software Development,computer science microsoft office engineering data entry management communication skills,2 days ago
1045,Data Entry-Full Time-Remote Work,"MAN, Technology, Environment",Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,IT/Software Development,computer science software development computer engineering data entry computer skills communication skills,1 day ago
1046,Remote Data Entry Operator: Entry Level Role,Green Energy Shop,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Administration,Customer Service/Support,customer service microsoft office customer support data entry management software,2 days ago
1047,Data Entry Agent: Flexible Hours Work From Home,Green Energy Shop,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Administration,Customer Service/Support,customer care customer support data entry microsoft office communication skills media,2 days ago
1048,Application Development Manager,flyadeal,Not mentioned,Makkah,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Business Development,IT/Software Development,Information Technology (IT) Computer Science Sales Sales Skills Software Development Software Engineering,6 hours ago
1049,Remote Data Entry Specialist: Work From Home,Green Energy Shop,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Administration,IT/Software Development,microsoft office administration customer service communication skills software remote,2 days ago
1050,Virtual Data Entry Clerk: Remote Opportunity,Green Energy Shop,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,IT/Software Development,Sales/Retail,computer science computer skills engineering communication skills data entry microsoft office,2 days ago
1051,Applications Developer,Ezdan Holding Group,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,Installation/Maintenance/Repair,IT/Software Development,Computer Science Software Development Software Engineering Computer Engineering Engineering SQL,1 day ago
1052,Remote Data Entry Assistant - Part-Time/Full-Time,Webtech Consulting Ltd.,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,accounting finance administration data entry communication skills software,7 hours ago
1053,Entry-Level Remote Data Entry Rep,Webtech Consulting Ltd.,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,customer service customer care customer support data entry communication skills management,7 hours ago
1054,Entry-Level Remote Data Entry Representative,Webtech Consulting Ltd.,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,microsoft office customer support customer care data entry communication skills management,8 hours ago
1055,Remote Data Entry Assistant - Entry Level,Webtech Consulting Ltd.,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,accounting finance administration data entry communication skills software,8 hours ago
1056,Work from Home Data Entry Clerk: Remote Position,Green Energy Shop,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,IT/Software Development,Marketing/PR/Advertising,customer service information technology (it) marketing data entry microsoft office communication skills,2 days ago
1057,Remote Data Entry Expert - Work From Home Tasks,Green Energy Shop,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Customer Service/Support,IT/Software Development,customer service information technology (it) customer support microsoft office data entry software,2 days ago
1058,Work From Home Data Entry Assistant,Green Energy Shop,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Administration,IT/Software Development,administration information technology (it) computer science data entry communication skills management,2 days ago
1059,Remote Data Entry Assistant - Part Time/Full Time,Green Energy Shop,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,accounting finance administration data entry communication skills software,2 days ago
1060,Graphic Designer in Abu-Dhabi,HDR,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Customer Service/Support,IT/Software Development,information technology (it) microsoft office startup engineering software design,33 minutes ago
1061,I.T Change Management & Quality Assurance Manager,flyadeal,Not mentioned,Makkah,Saudi Arabia ,Full Time,Not Mentioned,Experienced,IT/Software Development,Quality,computer science engineering quality assurance software development project management quality,6 hours ago
1062,Testing Engineer,SLB,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,IT/Software Development,Quality,Information Technology (IT) Testing Software Testing Software Development Software Engineering Engineering,1 day ago
1063,Senior Full Stack Engineer (.Net Core/React),GamaLearn,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Experienced,Creative/Design/Art,IT/Software Development,Computer Science Software Development javaScript HTML CSS Full Stack,9 hours ago
1064,Implementation Job,Sheikh Shakhbout Medical City,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,Accounting/Finance,IT/Software Development,Computer Science Implementation ERP Engineering Software Development Accounting,3 days ago
1065,Project Manager,Raqtan,Not mentioned,Makkah,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Engineering - Construction/Civil/Architecture,IT/Software Development,Engineering Information Technology (IT) Management Computer Science Civil Engineering Microsoft Office,16 hours ago
1066,People Support Manager,HSBC Recruitment,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Customer Service/Support,IT/Software Development,Customer Service Customer Support Computer Science Customer Care Management Technical Support,1 day ago
1067,Desktop Engineer,Zapegg Tax Consultant Dubai,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science Engineering Computer Engineering Software Engineering Software Development C#,2 days ago
1068,Junior IT Support Specialist (Remote),Kreativstorm,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science Technical Support Installation Maintenance Troubleshooting Computer Engineering,3 days ago
1069,Logistics Information System (LIS) Operator I (Maintenance),Amentum,Not mentioned,Kuwait City,Kuwait ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science ERP Engineering Software Engineering Information Systems Software,1 day ago
1070,Network Engineer,Speedcast,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science Engineering Networking Computer Engineering Networks Installation,2 days ago
1071,Junior Technical Support Analyst (Remote),Kreativstorm,Not mentioned,Tabuk,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Customer Service/Support,IT/Software Development,Computer Science Technical Support Computer Engineering Customer Care Customer Service Engineering,2 days ago
1072,Backend Tech Lead,Snoonu,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,Engineering - Construction/Civil/Architecture,IT/Software Development,Computer Science Software Development javaScript PHP Software Engineering Python,2 days ago
1073,Internship - Research and Development,Rize | رايز,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Student,IT/Software Development,Marketing/PR/Advertising,Information Technology (IT) Computer Science Startup Engineering Social Media Communication Skills,2 days ago
1074,Program Manager,ADASI,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Project/Program Management,Information Technology (IT) Management Computer Science Engineering Program Management Programming,2 days ago
1075,Information Technology | Procurement Support - Associate,Deloitte,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science Technical Support Installation Troubleshooting Maintenance Engineering,2 days ago
1076,Remote Data Entry Assistant - Part Time/Full Time,Charlotte PA,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Administration,accounting finance administration data entry communication skills software,3 days ago
1077,Internship - Marketing,Rize | رايز,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Student,IT/Software Development,Marketing/PR/Advertising,Information Technology (IT) Computer Science Startup Engineering Social Media Communication Skills,2 days ago
1078,Project Manager-(ESG Reporting),Renoir Consulting,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,Engineering - Construction/Civil/Architecture,IT/Software Development,Engineering Information Technology (IT) Management Computer Science Civil Engineering Microsoft Office,2 days ago
1079,IT Networks Design Expert,"Zakat, Tax and Customs Authority",Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Installation/Maintenance/Repair,IT/Software Development,computer science engineering software development networks design management,2 days ago
1080,Project Analyst,Weee!,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,IT/Software Development,Project/Program Management,Information Technology (IT) Computer Science Business Analysis Software Development PMP Analysis,2 days ago
1081,QA/ QC Engineer,avua,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,IT/Software Development,Quality,Quality Assurance QC QA Quality Engineering Computer Science,3 days ago
1082,Automation Testing,Cognizant,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Quality,Information Technology (IT) Testing Software Testing Quality Control Quality Assurance Automation,3 days ago
1083,Business Analyst - Ship / Marine Services,ECCO Gulf WLL,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,IT/Software Development,Analyst/Research,Information Technology (IT) Computer Science Analysis Software Development Software Computer Engineering,3 days ago
1084,UI/UX Designer,Reap HR,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,Creative/Design/Art,IT/Software Development,UI UX Computer Science Design Adobe Photoshop Adobe Illustrator,3 days ago
1085,Network Engineer,Intrepid,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science Engineering Networking Computer Engineering Networks Installation,2 days ago
1086,Internship - Data Analysis/ Science,Rize | رايز,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Student,IT/Software Development,Marketing/PR/Advertising,Information Technology (IT) Computer Science Startup Engineering Social Media Communication Skills,3 days ago
1087,Project Manager,Diena Recruitment Services,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,Engineering - Construction/Civil/Architecture,IT/Software Development,Engineering Information Technology (IT) Management Computer Science Civil Engineering Microsoft Office,3 days ago
1088,Product Research Analyst,TalentFusion Solutions,Not mentioned,Kuwait City,Kuwait ,Full Time,Not Mentioned,Experienced,IT/Software Development,Analyst/Research,Analysis Information Technology (IT) Business Analysis Computer Science Market Research Marketing,3 days ago
1089,Full Stack Developer,Strattmont,Not mentioned,Makkah,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Creative/Design/Art,IT/Software Development,Computer Science Software Development javaScript CSS Full Stack HTML,3 days ago
1090,Senior QA/QC Specialist,SPERTON,Not mentioned,Kuwait City,Kuwait ,Full Time,Not Mentioned,Experienced,IT/Software Development,Quality,Quality Control QA Quality QC Testing Engineering,3 days ago
1091,Tech Lead - Java,Cognizant,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Experienced,IT/Software Development,Operations/Management,Computer Science Software Development javaScript Agile Engineering PHP,3 days ago
1092,Senior iOS Developer,Snoonu,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,Business Development,IT/Software Development,Computer Science Software Development Software Engineering javaScript Engineering CSS,3 days ago
1093,RWJED-Assistant Restaurant Manager,Rosewood Jeddah,Not mentioned,Makkah,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Administration,Hospitality/Hotels/Food Services,Hospitality Food Administration Customer Service Food Services Management,2 days ago
1094,Interface Lead (PMT/Operations),Kintec Global Recruitment,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Not specified,Creative/Design/Art,IT/Software Development,computer science software development engineering management communication skills operations,3 days ago
1095,Network Security Engineer,"NTT DATA, Inc.",Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science Engineering Networking Computer Engineering CCNA Networks,4 days ago
1096,Sr Network Engineer,Intrepid,Not mentioned,Kuwait City,Kuwait ,Full Time,Not Mentioned,Experienced,Installation/Maintenance/Repair,IT/Software Development,Engineering Computer Science Networking CCNA CCNP Networks,3 days ago
1097,IT Governance Specialist,"NTT DATA, Inc.",Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Installation/Maintenance/Repair,IT/Software Development,Computer Science Installation Maintenance Technical Support Troubleshooting Software,4 days ago
1098,IT Support Engineer,Opisok Ortho Specialized Clinic,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science Technical Support Engineering Customer Support Customer Service Computer Engineering,4 days ago
1099,IT Systems Engineer,"NTT DATA, Inc.",Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,Computer Science Engineering Computer Engineering Software Engineering Installation Software Development,4 days ago
1100,System Administrator - (Saudi Resident Only),TIS (Tech for Integrated Services) by EXA,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Installation/Maintenance/Repair,IT/Software Development,Computer Science System Administration Engineering Linux Installation Computer Engineering,4 days ago
1101,Installation & Maintenance Technician (Saudi National),Hitachi Rail,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Installation/Maintenance/Repair,IT/Software Development,Information Technology (IT) Computer Science Maintenance Engineering Troubleshooting Computer Engineering,4 days ago
1102,Learning & Development Digitalization Manager,Almarai,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Engineering - Telecom/Technology,Learning Training Information Technology (IT) Computer Science Teaching E-Learning,5 days ago
1103,Senior Front End Engineer,Snoonu,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,Creative/Design/Art,IT/Software Development,Computer Science Software Development javaScript CSS HTML5 HTML,4 days ago
1104,Senior Vice President – IT Operations,ALDAR,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Senior Management,Installation/Maintenance/Repair,IT/Software Development,computer science engineering software development management operations communication skills,4 days ago
1105,Credit Team Leader,الرائــــــدة | Alraedah,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,IT/Software Development,Sales/Retail,Sales Skills Sales Target Information Technology (IT) Computer Science Customer Service Real Estate,5 days ago
1106,Organizational Development Lead,Golf Saudi,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Human Resources,IT/Software Development,Computer Science Software Development Software Engineering javaScript Computer Engineering Engineering,5 days ago
1107,Program Manager (Master Planning),US Army Corps of Engineers,Not mentioned,Kuwait City,Kuwait ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Project/Program Management,Information Technology (IT) Management Computer Science Engineering Program Management Programming,4 days ago
1108,Internal Auditor,SASREF,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Accounting/Finance,Quality,Finance Auditing Financial Analysis Financial Management Internal Audit Internal Auditing,4 days ago
1109,Telecommunications Project Engineer,Viasat,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Not specified,Project/Program Management,Engineering - Telecom/Technology,Engineering Information Technology (IT) Telecommunication Microsoft Office Civil Engineering Computer Science,4 days ago
1110,Service Engineer Mobile Cranes,Liebherr Group,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,computer science software development software engineering english sales communication skills,5 days ago
1111,IT Service Delivery Manager (UAE National),Miral Experiences,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Experienced,IT/Software Development,Operations/Management,Computer Science Customer Service Software Development Project Management Management Software,5 days ago
1112,Project Execution Manager,Hilti Saudi Arabia,Not mentioned,Makkah,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Engineering - Construction/Civil/Architecture,IT/Software Development,Engineering PMP Information Technology (IT) Management Computer Science Civil Engineering,5 days ago
1113,Battery Systems Technician HPSC/KSA,Nightwing,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,automotive car services mechanical engineering operations development healthcare,5 days ago
1114,Battery Systems Tech (BST) - Saudi Arabia,Nightwing,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Installation/Maintenance/Repair,IT/Software Development,computer science engineering computer engineering technical support software maintenance,5 days ago
1115,Director of Rooms,The Ned,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Manager,Administration,Operations/Management,office management microsoft office secretary sales hospitality operations,6 days ago
1116,Customer technical support,Beckman Coulter Diagnostics,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Customer Service/Support,IT/Software Development,Customer Service Customer Support Information Technology (IT) Customer Care Computer Science Engineering,5 days ago
1117,Solution Architect,TechBiz Global,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Customer Service/Support,IT/Software Development,Computer Science Engineering Computer Engineering Software Engineering Software Development Solution Architecture,6 days ago
1118,IT Specialist - Help Desk,Lendo | ليندو,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Not specified,Installation/Maintenance/Repair,IT/Software Development,Computer Science Installation Maintenance Technical Support Software Troubleshooting,6 days ago
